genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YDR158W	P13663	HOM2	39.54334	2	2.9575551622128	2	1.02900245336136e-07	1.08539360340737e-07	1.03788748853258e-07	1.00002218934152
YER052C	P10869	HOM3	58.10913	2	2.9575551622128	2	8.60396516717507e-08	9.07546409718143e-08	8.67825705307359e-08	1.00002762053994
YJR139C	P31116	HOM6	38.50163	2	2.9575551622128	2	8.64966735982273e-07	9.12367077926922e-07	8.72435386670845e-07	1.00020418193917
YOR095C	Q12189	RKI1	28.25777	2	2.87513607618495	2	5.04943931504828e-06	5.08665804060458e-06	5.07100444109099e-06	1.00074492403139
YLR044C	P06169	PDC1	61.49468	2	2.84048395726367	2	4.17728073197811e-07	4.20385069030261e-07	4.18957298941076e-07	1.00013341642863
YNR001C	P00890	CIT1	53.35945	2	2.82128291656118	2	5.4415185201674e-07	7.60760148069884e-07	7.59566578569592e-07	1.00020963232784
YGL062W	P11154	PYC1	130.09827	2	2.41452849463093	2	1.02685001297098e-06	2.46865731862798e-06	2.4535756238107e-06	1.00174377747866
YAL038W	P00549	CDC19	54.54404	2	2.37005997540444	2	1.86466720173596e-06	2.01474682305125e-06	2.01385448071868e-06	1.00056673796228
YGR254W	P00924	ENO1	46.81564	2	2.20621732764662	2	1.85326956442494e-06	2.05128200817606e-06	2.0492419422349e-06	1.00049511363087
YOR283W	Q12040	YOR283W	26.17622	2	2.20621732764635	2	5.58753465491391e-07	5.69521516162221e-07	5.6582241931315e-07	1.00007728419882
YNL036W	P53615	NCE103	24.85889	1	1.66764891068228	2	0	3.90496090111616e-09	1.65645331461005e-10	1.000001000001
YCR012W	P00560	PGK1	44.73787	2	1.17090531042208	2	8.87147603913694e-07	8.89583039318927e-07	8.87427605070941e-07	1.00020547852944
YJL052W	P00360	TDH1	35.74956	2	1.17090531042208	2	1.64182213226997e-05	1.64305420778678e-05	1.64234032348788e-05	1.00302671709475
YDR050C	P00942	TPI1	26.79508	2	1.06805074618861	2	2.48783396316628e-08	2.85041205118868e-08	2.4882346465702e-08	1.00000443385074
YKL060C	P14540	FBA1	39.62024	1	1.06130862960123	2	0	4.11812262667619e-09	0	1.000001000001
YMR205C	P16862	PFK2	104.61673	2	1.06130862960122	2	6.0165360084186e-07	6.05424004568937e-07	6.04844097573754e-07	1.00032689123186
YDR516C	Q04409	EMI2	55.92028	2	1.00067214191613	2	1.85769898556732e-07	1.86188254037738e-07	1.8618e-07	1.00005462529589
YAL044C	P39726	GCV3	18.79276	0	0	0	0	1.80034718017122e-11	0	1.000001000001
YBR263W	P37292	SHM1	53.68589	0	0	0	0	1.80810128900838e-09	0	1.00000099999093
YCL040W	P17709	GLK1	55.37689	0	0	0	0	2.15204335016159e-09	0	1.00000099999092
YDR019C	P48015	GCV1	44.46849	0	0	0	0	1.80034718017122e-11	0	1.000001000001
YDR148C	P19262	KGD2	50.43011	0	0	0	0	6.13277575404066e-10	0	1.000001000001
YER070W	P21524	RNR1	99.56021	0	0	0	0	9.85526629351988e-10	0	1.00000099999092
YFR053C	P04806	HXK1	53.73784	0	0	0	0	2.23311227596491e-09	0	1.000001000001
YGL253W	P04807	HXK2	53.9419	0	0	0	0	1.97323445979573e-09	0	1.00000100000099
YGR180C	P49723	RNR4	40.05407	0	0	0	0	2.48952831896872e-09	0	1.00000099999093
YIL066C	P21672	RNR3	97.51369	0	0	0	0	1.00640115177461e-09	0	1.000000999955
YIL125W	P20967	KGD1	114.41496	0	0	0	0	6.13277575404066e-10	0	1.000001000001
YJL026W	P09938	RNR2	46.14681	0	0	0	0	2.15310006103247e-09	0	1.000001000001
YKL029C	P36013	MAE1	74.37529	0	0	0	0	8.01144950020911e-09	0	1.000001000001
YKL085W	P17505	MDH1	35.64959	0	0	0	0	1.19035388941065e-07	0	1.000001000001
YLR438W	P07991	CAR2	46.08557	0	0	0	0	1.85037587251794e-11	0	1.000001000001
YLR446W	Q06204	YLR446W	48.96875	0	0	0	0	1.98481442801855e-09	0	1.00000099996507
YMR189W	P49095	GCV2	114.45033	0	0	0	0	1.80034718017122e-11	0	1.000001000001
YMR241W		YHM2	NaN	0	0	0	0	0	0	1.00000099999092
YMR246W	P47912	FAA4	77.26612	0	0	0	0	1.32258354814477e-09	0	1.000001000001
YOR317W	P30624	FAA1	77.86529	0	0	0	0	1.31187319558311e-09	0	1.00000099999093
YOR388C	Q08911	FDH1	41.7138	0	0	0	0	9.15954968819788e-10	0	1.000001000001
